key,project_name,organization_name,lg_code,prefecture_name,cft_issue_year,cft_issue_date,external_document_uri,review_decision,suggested_it_tag,review_notes
aG9ra2FpZG8vaG9ra2FpZG9fcHJlZi8yMDI0LzIwMjQwMzAxXzAxMTM4Cg==,地域自殺対策強化事業（電話相談強化事業）業務委託に係る一般競争入札の実施について,北海道,01,北海道,2024,2024-03-01T00:00:00+09:00,https://www.pref.hokkaido.lg.jp/hf/shf/181485.html,,,
a2FuYWdhd2EvaGFkYW5vX2NpdHkvMjAyMy8yMDIzMTAxMV8wMzE0MAo=,令和５年度住民票等作成委託業務（長期継続契約）,神奈川県秦野市,14,神奈川県,2023,2023-10-11T00:00:00+09:00,https://www.city.hadano.kanagawa.jp/sekkeitosho/2_gaiyou/5053161.pdf,,,
ZnVrdW9rYS9mdWt1b2thX3JvdWRvdWt5b2t1LzIwMjUvMjAyNTA4MDFfMDA3NzAK,大牟田公共職業安定所（令7）電話設備改修工事設計業務委託,厚生労働省福岡労働局,40,福岡県,2025,2025-08-01T00:00:00+09:00,https://jsite.mhlw.go.jp/fukuoka-roudoukyoku/content/contents/002335004.pdf,,,
b3Nha2EvdG95b25ha2FfY2l0eS8yMDI1LzIwMjUxMTExXzAxMDEwCg==,令和7年度水道配水管設計業務委託（No．5）,大阪府豊中市,27,大阪府,2025,2025-11-11T00:00:00+09:00,https://www.city.toyonaka.osaka.jp/jigyosya/keiyaku/koukoku/20251111.files/koukoku-suidouitaku5.pdf,,,
ZnVrdW9rYS9jaXR5LWt1cnVtZS8yMDIzLzIwMjMxMDMwXzAyOTIzCg==,久留米市数値地形図等修正業務委託,福岡県久留米市,40,福岡県,2023,2023-10-30T00:00:00+09:00,https://www.city.kurume.fukuoka.jp/1090sangyou/2010nyuusatsu/3030koukoku/4010nyuusatsu/files/20231109-15.pdf,,,
b3Nha2EvbWlub2hfY2l0eS8yMDIyLzIwMjIwNzA1XzAwMzQ4Cg==,令和4年度箕面市国保ヘルスアップ事業業務委託にかかる一般競争入札の実施について,大阪府箕面市,27,大阪府,2022,2022-07-05T00:00:00+09:00,https://www.city.minoh.lg.jp/keiyaku/ippannkyousounyuusatu/documents/healthup.html,,,
Z292Ny9jYnJfbWxpdC8yMDIyLzIwMjIwMjIxXzA0MDY4Cg==,令和４年度 災害対応等記録編集整理業務,国土交通省中部地方整備局,23,愛知県,2022,2022-02-21T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r3/220221-saigai-kyoku.pdf,,,
Z292Ni9rYWlob19tbGl0XzAza2Fua3UvMjAyNC8yMDI0MDgyOF8wMTYxNgo=,灯台見回り船はまひかり中検修理,海上保安庁第三管区海上保安本部,14,神奈川県,2024,2024-08-28T00:00:00+09:00,https://www.kaiho.mlit.go.jp/03kanku/nyusatsu/R6_koukoku/sesoko/hune114%20koukoku.pdf,,,
Z292Ni9rYWlob19tbGl0XzA0a2Fua3UvMjAyNC8yMDI0MDEyNF8wMDI2NQo=,R6D単012：用船（名古屋、単契）,海上保安庁第四管区海上保安本部,23,愛知県,2024,2024-01-24T00:00:00+09:00,https://www.kaiho.mlit.go.jp/04kanku/nyusatsu/13ac02fce772eb85eb653de6e542e48ad6993553.pdf,,,
Z292Ny9jYnJfbWxpdC8yMDI1LzIwMjUwNjA1XzA0ODI0Cg==,令和７年度 岐阜国道事務所開通式典業務,国土交通省中部地方整備局,23,愛知県,2025,2025-06-05T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/data/pdf/IhYLswssyp20250604_6.pdf,,,
